Project Name,Country,Capacity (kt H2/y),Investment Cost (MUSD),Source,Date Online,Technology,Capacity Change (Simulated),Country_Name,Continent,Region
EDP Ribatejo - ALHIVE Alenquer,PRT,5.0,0.749653846,Production,2025.0,Unknown,1.999771493,Portugal,Europe,South West Europe
E.ON H2.Ruhr wind exports from Italy,DEU,20.0,3.465066667,Production,2025.0,Others/Various,4.999049893,Germany,Europe,Western Europe
Duisburg Harbor,DEU,20.0,3.465066667,Production,2025.0,Unknown,9.999049893,Germany,Europe,Western Europe
Dimdini H2 ecosystem,LVA,30.0,5.1976,Production,2025.0,Unknown,1.998568826,Latvia,Europe,Eastern Europe
DépHy2B Bastia,FRA,5.0,0.866266667,Production,2025.0,Solar PV,1.999771493,France,Europe,Western Europe
DépHy2A Ajaccio,FRA,5.0,0.866266667,Production,2025.0,Solar PV,1.999771493,France,Europe,Western Europe
CRI project in Norway (Circlenergy),NOR,110.0,19.05786667,Production,2025.0,Unknown,1.994720292,Norway,Europe,Northern Europe
Concrete Chemicals - II,DEU,3.0,0.615505263,Production,2025.0,Others/Various,4.999867707,Germany,Europe,Western Europe
Concrete Chemicals - I,DEU,51.68539326,8.76,Production,2025.0,Others/Various,4.997525614,Germany,Europe,Western Europe
Bradford Low Carbon Hydrogen,GBR,24.5,4.244706667,Production,2025.0,Unknown,6.998833413,United Kingdom,Europe,Western Europe
"Borna Hydrogen Plant, phase 1",DEU,100.0,17.32533333,Production,2025.0,Unknown,4.995201359,Germany,Europe,Western Europe
Bord Na Mona & BOC hydrogen project,IRL,2.0,0.346506667,Production,2025.0,Onshore wind,1.999915813,Ireland,Europe,Western Europe
UPM Kymmene Biorefinery Green Hydrogen production​,FIN,20.0,3.465066667,Production,2025.0,Unknown,1.999049893,Finland,Europe,Northern Europe
Uniper Killingholme site,GBR,100.0,17.32533333,Production,2025.0,Offshore wind,1.995201359,United Kingdom,Europe,Western Europe
"Trailblazer - Siemens-Air Liquide Oberhausen, Phase 2",DEU,10.0,1.499307692,Production,2025.0,Unknown,9.99953096,Germany,Europe,Western Europe
"TIWAG Power2X (Phase 1) (within ""Power2X Kufstein"")",AUT,1.0,0.149930769,Production,2025.0,Hydropower,1.99996392,Austria,Europe,Central Europe
Vordingborg biofuels,DNK,220.8638602,38.2654,Production,2025.0,Others/Various,1.989387001,Denmark,Europe,Northern Europe
Vlissingen - VoltH2 - phase I,NLD,25.0,4.331333333,Production,2025.0,Offshore wind,1.99880936,Netherlands,Europe,Western Europe
Vitry H2,FRA,2.0,0.338973913,Production,2025.0,Unknown,1.999915813,France,Europe,Western Europe
VISION 2025,GRC,10.0,1.732533333,Production,2025.0,Solar PV,1.99953096,Greece,Europe,South East Europe
Vätgas Ljungby,SWE,2.0,0.346506667,Production,2025.0,Unknown,6.999915813,Sweden,Europe,Northern Europe
Vantaa-Wartsila methanation,FIN,20.0,3.465066667,Production,2025.0,Onshore wind,1.999049893,Finland,Europe,Northern Europe
Valle Peligna Green Hydrogen Project,ITA,30.0,4.497923077,Production,2025.0,Others/Various,1.998568826,Italy,Europe,Southern Europe
Utilitas ELY,EST,0.212405726,0.036,Production,2025.0,Solar PV,1.999998191,Estonia,Europe,Eastern Europe
"BENORTH2 (Amorebieta-Boroa power plant), phase 1",ESP,20.0,3.465066667,Production,2025.0,Unknown,1.999049893,Spain,Europe,South West Europe
Barranco de Tirajana - Endesa,ESP,7.0,1.212773333,Production,2025.0,Solar PV,1.99967528,Spain,Europe,South West Europe
Barataria - pHYnix,ESP,70.0,12.12773333,Production,2025.0,Unknown,6.996644559,Spain,Europe,South West Europe
Bad Lauchstädt energy park,DEU,30.0,5.084608696,Production,2025.0,Onshore wind,4.998568826,Germany,Europe,Western Europe
Axpo Brugg,CHE,15.0,2.5988,Production,2025.0,Hydropower,1.999290427,Switzerland,Europe,Central Europe
AuxHYGen (Phase 2),FRA,2.0,0.338973913,Production,2025.0,Unknown,1.999915813,France,Europe,Western Europe
"AsturiasH2Valley, Abono",ESP,150.0,25.988,Production,2025.0,Unknown,1.992796025,Spain,Europe,South West Europe
As Pontes power plant,ESP,100.0,17.32533333,Production,2025.0,Onshore wind,1.995201359,Spain,Europe,South West Europe
Armor Hydrogène,FRA,4.0,0.693013333,Production,2025.0,Onshore wind,1.9998196,France,Europe,Western Europe
ArcelorMittal Hamburg,DEU,50.0,8.662666667,Production,2025.0,Unknown,9.997606693,Germany,Europe,Western Europe
AEM Nexus 500 for SAF and supply of internal hydrogen lines,DEU,0.5,0.086626667,Production,2025.0,Unknown,9.999987973,Germany,Europe,Western Europe
Zero Emission Valley (ZEV) - Le Cheylas,FRA,5.0,0.866266667,Production,2025.0,Unknown,6.999771493,France,Europe,Western Europe
Advancing Sustainable Aviation via PtL and Direct Air Capture (ASAP-DAC)  project,BGR,3.121067801,0.5407354,Production,2025.0,Unknown,1.999861882,Bulgaria,Europe,South East Europe
